Track,Artist,Search Query,YouTube Search,Spotify Search
1985,Bowling for Soup,Bowling for Soup 1985,https://www.youtube.com/results?search_query=Bowling%20for%20Soup%201985,https://open.spotify.com/search/Bowling%20for%20Soup%201985
24K Magic,Bruno Mars,Bruno Mars 24K Magic,https://www.youtube.com/results?search_query=Bruno%20Mars%2024K%20Magic,https://open.spotify.com/search/Bruno%20Mars%2024K%20Magic
A Thousand Miles,Vanessa Carlton,Vanessa Carlton A Thousand Miles,https://www.youtube.com/results?search_query=Vanessa%20Carlton%20A%20Thousand%20Miles,https://open.spotify.com/search/Vanessa%20Carlton%20A%20Thousand%20Miles
Africa,Toto,Toto Africa,https://www.youtube.com/results?search_query=Toto%20Africa,https://open.spotify.com/search/Toto%20Africa
Ain't No Mountain High Enough,Marvin Gaye and Tammi Terrell,Marvin Gaye and Tammi Terrell Ain't No Mountain High Enough,https://www.youtube.com/results?search_query=Marvin%20Gaye%20and%20Tammi%20Terrell%20Ain't%20No%20Mountain%20High%20Enough,https://open.spotify.com/search/Marvin%20Gaye%20and%20Tammi%20Terrell%20Ain't%20No%20Mountain%20High%20Enough
Ain't Too Proud To Beg,The Temptations,The Temptations Ain't Too Proud To Beg,https://www.youtube.com/results?search_query=The%20Temptations%20Ain't%20Too%20Proud%20To%20Beg,https://open.spotify.com/search/The%20Temptations%20Ain't%20Too%20Proud%20To%20Beg
All Night Long,Lionel Richie,Lionel Richie All Night Long,https://www.youtube.com/results?search_query=Lionel%20Richie%20All%20Night%20Long,https://open.spotify.com/search/Lionel%20Richie%20All%20Night%20Long
All The Small Things,Blink-182,Blink-182 All The Small Things,https://www.youtube.com/results?search_query=Blink-182%20All%20The%20Small%20Things,https://open.spotify.com/search/Blink-182%20All%20The%20Small%20Things
American Girl,Tom Petty,Tom Petty American Girl,https://www.youtube.com/results?search_query=Tom%20Petty%20American%20Girl,https://open.spotify.com/search/Tom%20Petty%20American%20Girl
Baby Come Back,Player,Player Baby Come Back,https://www.youtube.com/results?search_query=Player%20Baby%20Come%20Back,https://open.spotify.com/search/Player%20Baby%20Come%20Back
Baby Got Back,Sir Mix-A-Lot,Sir Mix-A-Lot Baby Got Back,https://www.youtube.com/results?search_query=Sir%20Mix-A-Lot%20Baby%20Got%20Back,https://open.spotify.com/search/Sir%20Mix-A-Lot%20Baby%20Got%20Back
Baby One More Time,Britney Spears,Britney Spears Baby One More Time,https://www.youtube.com/results?search_query=Britney%20Spears%20Baby%20One%20More%20Time,https://open.spotify.com/search/Britney%20Spears%20Baby%20One%20More%20Time
Baker Street,Gerry Rafferty,Gerry Rafferty Baker Street,https://www.youtube.com/results?search_query=Gerry%20Rafferty%20Baker%20Street,https://open.spotify.com/search/Gerry%20Rafferty%20Baker%20Street
Bang Bang,Ariana Grande,Ariana Grande Bang Bang,https://www.youtube.com/results?search_query=Ariana%20Grande%20Bang%20Bang,https://open.spotify.com/search/Ariana%20Grande%20Bang%20Bang
Billie Jean,Michael Jackson,Michael Jackson Billie Jean,https://www.youtube.com/results?search_query=Michael%20Jackson%20Billie%20Jean,https://open.spotify.com/search/Michael%20Jackson%20Billie%20Jean
Black Magic Woman,Santana,Santana Black Magic Woman,https://www.youtube.com/results?search_query=Santana%20Black%20Magic%20Woman,https://open.spotify.com/search/Santana%20Black%20Magic%20Woman
Blame It On The Boogie,The Jacksons,The Jacksons Blame It On The Boogie,https://www.youtube.com/results?search_query=The%20Jacksons%20Blame%20It%20On%20The%20Boogie,https://open.spotify.com/search/The%20Jacksons%20Blame%20It%20On%20The%20Boogie
Blurred Lines,Robin Thicke,Robin Thicke Blurred Lines,https://www.youtube.com/results?search_query=Robin%20Thicke%20Blurred%20Lines,https://open.spotify.com/search/Robin%20Thicke%20Blurred%20Lines
Bohemian Rhapsody,Queen,Queen Bohemian Rhapsody,https://www.youtube.com/results?search_query=Queen%20Bohemian%20Rhapsody,https://open.spotify.com/search/Queen%20Bohemian%20Rhapsody
Boogie Shoes,KC and the Sunshine Band,KC and the Sunshine Band Boogie Shoes,https://www.youtube.com/results?search_query=KC%20and%20the%20Sunshine%20Band%20Boogie%20Shoes,https://open.spotify.com/search/KC%20and%20the%20Sunshine%20Band%20Boogie%20Shoes
Cake by the Ocean,DNCE,DNCE Cake by the Ocean,https://www.youtube.com/results?search_query=DNCE%20Cake%20by%20the%20Ocean,https://open.spotify.com/search/DNCE%20Cake%20by%20the%20Ocean
Can't Stop the Feeling!,Justin Timberlake,Justin Timberlake Can't Stop the Feeling!,https://www.youtube.com/results?search_query=Justin%20Timberlake%20Can't%20Stop%20the%20Feeling!,https://open.spotify.com/search/Justin%20Timberlake%20Can't%20Stop%20the%20Feeling!
China Grove,The Doobie Brothers,The Doobie Brothers China Grove,https://www.youtube.com/results?search_query=The%20Doobie%20Brothers%20China%20Grove,https://open.spotify.com/search/The%20Doobie%20Brothers%20China%20Grove
Closer,The Chainsmokers,The Chainsmokers Closer,https://www.youtube.com/results?search_query=The%20Chainsmokers%20Closer,https://open.spotify.com/search/The%20Chainsmokers%20Closer
Come Together,The Beatles,The Beatles Come Together,https://www.youtube.com/results?search_query=The%20Beatles%20Come%20Together,https://open.spotify.com/search/The%20Beatles%20Come%20Together
Crazy in Love,Beyoncé,Beyoncé Crazy in Love,https://www.youtube.com/results?search_query=Beyonc%C3%A9%20Crazy%20in%20Love,https://open.spotify.com/search/Beyonc%C3%A9%20Crazy%20in%20Love
Crazy Little Thing Called Love,Queen,Queen Crazy Little Thing Called Love,https://www.youtube.com/results?search_query=Queen%20Crazy%20Little%20Thing%20Called%20Love,https://open.spotify.com/search/Queen%20Crazy%20Little%20Thing%20Called%20Love
Dreams,Fleetwood Mac,Fleetwood Mac Dreams,https://www.youtube.com/results?search_query=Fleetwood%20Mac%20Dreams,https://open.spotify.com/search/Fleetwood%20Mac%20Dreams
Dynamite,Taio Cruz,Taio Cruz Dynamite,https://www.youtube.com/results?search_query=Taio%20Cruz%20Dynamite,https://open.spotify.com/search/Taio%20Cruz%20Dynamite
Easy,The Commodores,The Commodores Easy,https://www.youtube.com/results?search_query=The%20Commodores%20Easy,https://open.spotify.com/search/The%20Commodores%20Easy
Escape (The Piña Colada Song),Rupert Holmes,Rupert Holmes Escape (The Piña Colada Song),https://www.youtube.com/results?search_query=Rupert%20Holmes%20Escape%20(The%20Pi%C3%B1a%20Colada%20Song),https://open.spotify.com/search/Rupert%20Holmes%20Escape%20(The%20Pi%C3%B1a%20Colada%20Song)
Everybody (Backstreet's Back),Backstreet Boys,Backstreet Boys Everybody (Backstreet's Back),https://www.youtube.com/results?search_query=Backstreet%20Boys%20Everybody%20(Backstreet's%20Back),https://open.spotify.com/search/Backstreet%20Boys%20Everybody%20(Backstreet's%20Back)
Faith,George Michael,George Michael Faith,https://www.youtube.com/results?search_query=George%20Michael%20Faith,https://open.spotify.com/search/George%20Michael%20Faith
Feeling Good,Michael Bublé,Michael Bublé Feeling Good,https://www.youtube.com/results?search_query=Michael%20Bubl%C3%A9%20Feeling%20Good,https://open.spotify.com/search/Michael%20Bubl%C3%A9%20Feeling%20Good
Fooled Around And Fell In Love,Elvin Bishop,Elvin Bishop Fooled Around And Fell In Love,https://www.youtube.com/results?search_query=Elvin%20Bishop%20Fooled%20Around%20And%20Fell%20In%20Love,https://open.spotify.com/search/Elvin%20Bishop%20Fooled%20Around%20And%20Fell%20In%20Love
Footloose,Kenny Loggins,Kenny Loggins Footloose,https://www.youtube.com/results?search_query=Kenny%20Loggins%20Footloose,https://open.spotify.com/search/Kenny%20Loggins%20Footloose
Get Down Tonight,KC and The Sunshine Band,KC and The Sunshine Band Get Down Tonight,https://www.youtube.com/results?search_query=KC%20and%20The%20Sunshine%20Band%20Get%20Down%20Tonight,https://open.spotify.com/search/KC%20and%20The%20Sunshine%20Band%20Get%20Down%20Tonight
Get Lucky,Daft Punk,Daft Punk Get Lucky,https://www.youtube.com/results?search_query=Daft%20Punk%20Get%20Lucky,https://open.spotify.com/search/Daft%20Punk%20Get%20Lucky
Green Eyed Lady,Sugarloaf,Sugarloaf Green Eyed Lady,https://www.youtube.com/results?search_query=Sugarloaf%20Green%20Eyed%20Lady,https://open.spotify.com/search/Sugarloaf%20Green%20Eyed%20Lady
Happy,Pharrell Williams,Pharrell Williams Happy,https://www.youtube.com/results?search_query=Pharrell%20Williams%20Happy,https://open.spotify.com/search/Pharrell%20Williams%20Happy
Happy Together,The Turtles,The Turtles Happy Together,https://www.youtube.com/results?search_query=The%20Turtles%20Happy%20Together,https://open.spotify.com/search/The%20Turtles%20Happy%20Together
Heart And Soul,Huey Lewis and The News,Huey Lewis and The News Heart And Soul,https://www.youtube.com/results?search_query=Huey%20Lewis%20and%20The%20News%20Heart%20And%20Soul,https://open.spotify.com/search/Huey%20Lewis%20and%20The%20News%20Heart%20And%20Soul
I Can't Go for That,Hall and Oates,Hall and Oates I Can't Go for That,https://www.youtube.com/results?search_query=Hall%20and%20Oates%20I%20Can't%20Go%20for%20That,https://open.spotify.com/search/Hall%20and%20Oates%20I%20Can't%20Go%20for%20That
I Gotta Feeling,Black Eyed Peas,Black Eyed Peas I Gotta Feeling,https://www.youtube.com/results?search_query=Black%20Eyed%20Peas%20I%20Gotta%20Feeling,https://open.spotify.com/search/Black%20Eyed%20Peas%20I%20Gotta%20Feeling
I Heard It Through the Grapevine,Marvin Gaye,Marvin Gaye I Heard It Through the Grapevine,https://www.youtube.com/results?search_query=Marvin%20Gaye%20I%20Heard%20It%20Through%20the%20Grapevine,https://open.spotify.com/search/Marvin%20Gaye%20I%20Heard%20It%20Through%20the%20Grapevine
I Saw Her Standing There,The Beatles,The Beatles I Saw Her Standing There,https://www.youtube.com/results?search_query=The%20Beatles%20I%20Saw%20Her%20Standing%20There,https://open.spotify.com/search/The%20Beatles%20I%20Saw%20Her%20Standing%20There
I Think We're Alone Now,Tommy James and The Shondells,Tommy James and The Shondells I Think We're Alone Now,https://www.youtube.com/results?search_query=Tommy%20James%20and%20The%20Shondells%20I%20Think%20We're%20Alone%20Now,https://open.spotify.com/search/Tommy%20James%20and%20The%20Shondells%20I%20Think%20We're%20Alone%20Now
I Wanna Dance with Somebody,Whitney Houston,Whitney Houston I Wanna Dance with Somebody,https://www.youtube.com/results?search_query=Whitney%20Houston%20I%20Wanna%20Dance%20with%20Somebody,https://open.spotify.com/search/Whitney%20Houston%20I%20Wanna%20Dance%20with%20Somebody
I Will Survive,Gloria Gaynor,Gloria Gaynor I Will Survive,https://www.youtube.com/results?search_query=Gloria%20Gaynor%20I%20Will%20Survive,https://open.spotify.com/search/Gloria%20Gaynor%20I%20Will%20Survive
I'd Really Love To See You Tonight,England Dan and John Ford Coley,England Dan and John Ford Coley I'd Really Love To See You Tonight,https://www.youtube.com/results?search_query=England%20Dan%20and%20John%20Ford%20Coley%20I'd%20Really%20Love%20To%20See%20You%20Tonight,https://open.spotify.com/search/England%20Dan%20and%20John%20Ford%20Coley%20I'd%20Really%20Love%20To%20See%20You%20Tonight
I'll Be,The Spinners,The Spinners I'll Be,https://www.youtube.com/results?search_query=The%20Spinners%20I'll%20Be,https://open.spotify.com/search/The%20Spinners%20I'll%20Be
I'm A Believer,The Monkees,The Monkees I'm A Believer,https://www.youtube.com/results?search_query=The%20Monkees%20I'm%20A%20Believer,https://open.spotify.com/search/The%20Monkees%20I'm%20A%20Believer
I'm Alright,Kenny Loggins,Kenny Loggins I'm Alright,https://www.youtube.com/results?search_query=Kenny%20Loggins%20I'm%20Alright,https://open.spotify.com/search/Kenny%20Loggins%20I'm%20Alright
It's Not Unusual,Tom Jones,Tom Jones It's Not Unusual,https://www.youtube.com/results?search_query=Tom%20Jones%20It's%20Not%20Unusual,https://open.spotify.com/search/Tom%20Jones%20It's%20Not%20Unusual
Let's Stay Together,Al Green,Al Green Let's Stay Together,https://www.youtube.com/results?search_query=Al%20Green%20Let's%20Stay%20Together,https://open.spotify.com/search/Al%20Green%20Let's%20Stay%20Together
Listen to Her Heart,Tom Petty,Tom Petty Listen to Her Heart,https://www.youtube.com/results?search_query=Tom%20Petty%20Listen%20to%20Her%20Heart,https://open.spotify.com/search/Tom%20Petty%20Listen%20to%20Her%20Heart
Locked Out of Heaven,Bruno Mars,Bruno Mars Locked Out of Heaven,https://www.youtube.com/results?search_query=Bruno%20Mars%20Locked%20Out%20of%20Heaven,https://open.spotify.com/search/Bruno%20Mars%20Locked%20Out%20of%20Heaven
Long Train Runnin',The Doobie Brothers,The Doobie Brothers Long Train Runnin',https://www.youtube.com/results?search_query=The%20Doobie%20Brothers%20Long%20Train%20Runnin',https://open.spotify.com/search/The%20Doobie%20Brothers%20Long%20Train%20Runnin'
Mercy Mercy Me,Marvin Gaye,Marvin Gaye Mercy Mercy Me,https://www.youtube.com/results?search_query=Marvin%20Gaye%20Mercy%20Mercy%20Me,https://open.spotify.com/search/Marvin%20Gaye%20Mercy%20Mercy%20Me
Moondance,Van Morrison,Van Morrison Moondance,https://www.youtube.com/results?search_query=Van%20Morrison%20Moondance,https://open.spotify.com/search/Van%20Morrison%20Moondance
Moves Like Jagger,Maroon 5,Maroon 5 Moves Like Jagger,https://www.youtube.com/results?search_query=Maroon%205%20Moves%20Like%20Jagger,https://open.spotify.com/search/Maroon%205%20Moves%20Like%20Jagger
My Old School,Steely Dan,Steely Dan My Old School,https://www.youtube.com/results?search_query=Steely%20Dan%20My%20Old%20School,https://open.spotify.com/search/Steely%20Dan%20My%20Old%20School
Nights Are Forever Without You,England Dan and John Ford Coley,England Dan and John Ford Coley Nights Are Forever Without You,https://www.youtube.com/results?search_query=England%20Dan%20and%20John%20Ford%20Coley%20Nights%20Are%20Forever%20Without%20You,https://open.spotify.com/search/England%20Dan%20and%20John%20Ford%20Coley%20Nights%20Are%20Forever%20Without%20You
Papa Was A Rolling Stone (45 edit),The Temptations,The Temptations Papa Was A Rolling Stone (45 edit),https://www.youtube.com/results?search_query=The%20Temptations%20Papa%20Was%20A%20Rolling%20Stone%20(45%20edit),https://open.spotify.com/search/The%20Temptations%20Papa%20Was%20A%20Rolling%20Stone%20(45%20edit)
Pony,Ginuwine,Ginuwine Pony,https://www.youtube.com/results?search_query=Ginuwine%20Pony,https://open.spotify.com/search/Ginuwine%20Pony
Power Of Love,Huey Lewis,Huey Lewis Power Of Love,https://www.youtube.com/results?search_query=Huey%20Lewis%20Power%20Of%20Love,https://open.spotify.com/search/Huey%20Lewis%20Power%20Of%20Love
Ride Captain Ride,Blues Image,Blues Image Ride Captain Ride,https://www.youtube.com/results?search_query=Blues%20Image%20Ride%20Captain%20Ride,https://open.spotify.com/search/Blues%20Image%20Ride%20Captain%20Ride
Sailing,Christopher Cross,Christopher Cross Sailing,https://www.youtube.com/results?search_query=Christopher%20Cross%20Sailing,https://open.spotify.com/search/Christopher%20Cross%20Sailing
Saturday in the Park,Chicago,Chicago Saturday in the Park,https://www.youtube.com/results?search_query=Chicago%20Saturday%20in%20the%20Park,https://open.spotify.com/search/Chicago%20Saturday%20in%20the%20Park
Save The Last Dance For Me,Michael Bublé,Michael Bublé Save The Last Dance For Me,https://www.youtube.com/results?search_query=Michael%20Bubl%C3%A9%20Save%20The%20Last%20Dance%20For%20Me,https://open.spotify.com/search/Michael%20Bubl%C3%A9%20Save%20The%20Last%20Dance%20For%20Me
September,Earth Wind and Fire,Earth Wind and Fire September,https://www.youtube.com/results?search_query=Earth%20Wind%20and%20Fire%20September,https://open.spotify.com/search/Earth%20Wind%20and%20Fire%20September
Shake It Off,Taylor Swift,Taylor Swift Shake It Off,https://www.youtube.com/results?search_query=Taylor%20Swift%20Shake%20It%20Off,https://open.spotify.com/search/Taylor%20Swift%20Shake%20It%20Off
She's Gone (Album Version),Hall and Oates,Hall and Oates She's Gone (Album Version),https://www.youtube.com/results?search_query=Hall%20and%20Oates%20She's%20Gone%20(Album%20Version),https://open.spotify.com/search/Hall%20and%20Oates%20She's%20Gone%20(Album%20Version)
Shut Up And Dance,Walk The Moon,Walk The Moon Shut Up And Dance,https://www.youtube.com/results?search_query=Walk%20The%20Moon%20Shut%20Up%20And%20Dance,https://open.spotify.com/search/Walk%20The%20Moon%20Shut%20Up%20And%20Dance
Somebody's Baby,Jackson Browne,Jackson Browne Somebody's Baby,https://www.youtube.com/results?search_query=Jackson%20Browne%20Somebody's%20Baby,https://open.spotify.com/search/Jackson%20Browne%20Somebody's%20Baby
Still The One,Orleans,Orleans Still The One,https://www.youtube.com/results?search_query=Orleans%20Still%20The%20One,https://open.spotify.com/search/Orleans%20Still%20The%20One
Summer Breeze,Seals and Crofts,Seals and Crofts Summer Breeze,https://www.youtube.com/results?search_query=Seals%20and%20Crofts%20Summer%20Breeze,https://open.spotify.com/search/Seals%20and%20Crofts%20Summer%20Breeze
Teenage Dirtbag,Wheatus,Wheatus Teenage Dirtbag,https://www.youtube.com/results?search_query=Wheatus%20Teenage%20Dirtbag,https://open.spotify.com/search/Wheatus%20Teenage%20Dirtbag
Teenagers,My Chemical Romance,My Chemical Romance Teenagers,https://www.youtube.com/results?search_query=My%20Chemical%20Romance%20Teenagers,https://open.spotify.com/search/My%20Chemical%20Romance%20Teenagers
That's the Way (I Like It),KC and the Sunshine Band,KC and the Sunshine Band That's the Way (I Like It),https://www.youtube.com/results?search_query=KC%20and%20the%20Sunshine%20Band%20That's%20the%20Way%20(I%20Like%20It),https://open.spotify.com/search/KC%20and%20the%20Sunshine%20Band%20That's%20the%20Way%20(I%20Like%20It)
That's The Way Of The World,Earth Wind and Fire,Earth Wind and Fire That's The Way Of The World,https://www.youtube.com/results?search_query=Earth%20Wind%20and%20Fire%20That's%20The%20Way%20Of%20The%20World,https://open.spotify.com/search/Earth%20Wind%20and%20Fire%20That's%20The%20Way%20Of%20The%20World
The Way You Make Me Feel,Michael Jackson,Michael Jackson The Way You Make Me Feel,https://www.youtube.com/results?search_query=Michael%20Jackson%20The%20Way%20You%20Make%20Me%20Feel,https://open.spotify.com/search/Michael%20Jackson%20The%20Way%20You%20Make%20Me%20Feel
Thinking Out Loud,Ed Sheeran,Ed Sheeran Thinking Out Loud,https://www.youtube.com/results?search_query=Ed%20Sheeran%20Thinking%20Out%20Loud,https://open.spotify.com/search/Ed%20Sheeran%20Thinking%20Out%20Loud
Thunder Island,Jay Ferguson,Jay Ferguson Thunder Island,https://www.youtube.com/results?search_query=Jay%20Ferguson%20Thunder%20Island,https://open.spotify.com/search/Jay%20Ferguson%20Thunder%20Island
Treasure,Bruno Mars,Bruno Mars Treasure,https://www.youtube.com/results?search_query=Bruno%20Mars%20Treasure,https://open.spotify.com/search/Bruno%20Mars%20Treasure
Twist and Shout,The Beatles,The Beatles Twist and Shout,https://www.youtube.com/results?search_query=The%20Beatles%20Twist%20and%20Shout,https://open.spotify.com/search/The%20Beatles%20Twist%20and%20Shout
Valerie,Amy Winehouse,Amy Winehouse Valerie,https://www.youtube.com/results?search_query=Amy%20Winehouse%20Valerie,https://open.spotify.com/search/Amy%20Winehouse%20Valerie
What's Going On,Marvin Gaye,Marvin Gaye What's Going On,https://www.youtube.com/results?search_query=Marvin%20Gaye%20What's%20Going%20On,https://open.spotify.com/search/Marvin%20Gaye%20What's%20Going%20On
Wonderful Tonight,Eric Clapton,Eric Clapton Wonderful Tonight,https://www.youtube.com/results?search_query=Eric%20Clapton%20Wonderful%20Tonight,https://open.spotify.com/search/Eric%20Clapton%20Wonderful%20Tonight
You Should Be Dancing,Bee Gees,Bee Gees You Should Be Dancing,https://www.youtube.com/results?search_query=Bee%20Gees%20You%20Should%20Be%20Dancing,https://open.spotify.com/search/Bee%20Gees%20You%20Should%20Be%20Dancing
You've Lost That Lovin' Feelin',The Righteous Brothers,The Righteous Brothers You've Lost That Lovin' Feelin',https://www.youtube.com/results?search_query=The%20Righteous%20Brothers%20You've%20Lost%20That%20Lovin'%20Feelin',https://open.spotify.com/search/The%20Righteous%20Brothers%20You've%20Lost%20That%20Lovin'%20Feelin'
